"","age","age_grp","tpDn"
"1",34,NA,NA
"2",35,"(34,44]",0.0017
"3",36,"(34,44]",0.0017
"4",37,"(34,44]",0.0017
"5",38,"(34,44]",0.0017
"6",39,"(34,44]",0.0017
"7",40,"(34,44]",0.0017
"8",41,"(34,44]",0.0017
"9",42,"(34,44]",0.0017
"10",43,"(34,44]",0.0017
"11",44,"(34,44]",0.0017
"12",45,"(44,54]",0.0044
"13",46,"(44,54]",0.0044
"14",47,"(44,54]",0.0044
"15",48,"(44,54]",0.0044
"16",49,"(44,54]",0.0044
"17",50,"(44,54]",0.0044
"18",51,"(44,54]",0.0044
"19",52,"(44,54]",0.0044
"20",53,"(44,54]",0.0044
"21",54,"(44,54]",0.0044
"22",55,"(54,64]",0.0138
"23",56,"(54,64]",0.0138
"24",57,"(54,64]",0.0138
"25",58,"(54,64]",0.0138
"26",59,"(54,64]",0.0138
"27",60,"(54,64]",0.0138
"28",61,"(54,64]",0.0138
"29",62,"(54,64]",0.0138
"30",63,"(54,64]",0.0138
"31",64,"(54,64]",0.0138
"32",65,"(64,74]",0.0379
"33",66,"(64,74]",0.0379
"34",67,"(64,74]",0.0379
"35",68,"(64,74]",0.0379
"36",69,"(64,74]",0.0379
"37",70,"(64,74]",0.0379
"38",71,"(64,74]",0.0379
"39",72,"(64,74]",0.0379
"40",73,"(64,74]",0.0379
"41",74,"(64,74]",0.0379
"42",75,"(74,84]",0.0912
"43",76,"(74,84]",0.0912
"44",77,"(74,84]",0.0912
"45",78,"(74,84]",0.0912
"46",79,"(74,84]",0.0912
"47",80,"(74,84]",0.0912
"48",81,"(74,84]",0.0912
"49",82,"(74,84]",0.0912
"50",83,"(74,84]",0.0912
"51",84,"(74,84]",0.0912
"52",85,"(84,100]",0.1958
"53",86,"(84,100]",0.1958
"54",87,"(84,100]",0.1958
"55",88,"(84,100]",0.1958
"56",89,"(84,100]",0.1958
"57",90,"(84,100]",0.1958
"58",91,"(84,100]",0.1958
"59",92,"(84,100]",0.1958
"60",93,"(84,100]",0.1958
"61",94,"(84,100]",0.1958
"62",95,"(84,100]",0.1958
"63",96,"(84,100]",0.1958
"64",97,"(84,100]",0.1958
"65",98,"(84,100]",0.1958
"66",99,"(84,100]",0.1958
"67",100,"(84,100]",0.1958
